시도,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸
경상남도,360481,54359,41010,2889391.0,4.5,17326,2630,1862,6449,1733,1048,3842,302,173,9668,1782,1370,7687,2191,1469,7878,1378,896,53796,9152,5296,686,144,128,1251,202,136,63963,13130,11232,32141,2241,1594,80717,12066,9490,27187,2480,1651,802,48,43,914,186,27,46086,4690,4587,88,4,8
제주특별자치도,79309,16050,9030,2389239.0,4.2,3724,548,376,1643,367,211,868,86,33,1987,380,288,1902,352,231,1492,271,134,14131,4862,1603,150,34,19,467,88,56,17412,4255,2980,7274,576,382,17610,2886,2070,7450,980,435,104,17,4,261,25,3,2819,323,205,15,0,0
서울특별시,1341759,194876,151234,3445867.0,2.4,52120,7521,6267,28086,6008,4603,19182,1292,825,32062,5647,4492,28722,4998,3342,65134,10475,6121,363579,54964,36475,12278,1919,1457,44624,7186,4502,144197,25921,23492,88457,11547,11543,326251,44574,38271,61125,6343,4199,511,36,31,353,62,16,75034,6380,5597,44,3,1
부산광역시,405205,55497,44055,2786616.0,3.4,19518,2777,2162,7489,1458,1254,5429,368,198,9618,1739,1414,8479,1833,1222,9569,1451,1050,76873,12098,7598,1293,202,207,2697,498,326,53834,10603,9364,50146,2987,2731,100555,13900,11941,22958,2789,1920,495,35,26,110,17,5,36131,2740,2636,11,2,1
대구광역시,283123,38961,30533,2634209.0,6.5,13198,2068,1508,5806,1119,979,4049,244,137,8025,1438,1140,5187,1088,726,6119,802,499,50233,7716,5057,835,119,130,1953,337,224,37576,7402,6825,30176,2059,1697,70901,10226,8510,16718,1797,1141,350,19,18,228,37,7,31763,2490,1933,6,0,2
인천광역시,309775,49625,38986,2913439.0,2.6,14772,2597,2070,7365,1754,1465,3571,272,162,7399,1519,1142,6303,1513,1007,6074,1021,654,66309,11093,6998,806,170,135,2812,631,402,39895,8235,7797,29894,3723,2995,71585,11563,10054,20380,2895,1889,528,38,30,151,31,4,31911,2570,2180,20,0,2
광주광역시,155837,24448,19352,2731776.0,3.8,8948,1548,1173,3860,941,777,2406,210,134,5407,936,814,3257,611,438,3829,566,327,26512,4371,2949,533,97,86,1158,204,134,22840,5128,4551,12138,1203,905,41336,6076,5360,12186,1322,884,183,18,10,843,139,19,10384,1078,788,17,0,3
대전광역시,166399,24582,19500,3071837.0,2.9,9032,1366,1092,4184,939,775,2457,135,106,4811,855,741,3429,750,538,4118,569,353,32429,4881,3301,429,62,62,1933,365,235,23939,4923,4508,16494,1227,963,41838,6256,5411,11113,1325,754,139,8,4,168,40,4,9882,881,651,4,0,2
울산광역시,121588,18620,15370,3169771.0,1.5,6440,999,788,3038,698,528,1451,68,52,3894,721,556,2797,649,488,3184,464,620,21640,3686,2292,263,49,33,517,112,79,21008,4283,3881,12543,902,740,25509,4001,3453,9658,1044,796,243,22,19,73,11,5,9317,911,1040,13,0,0
세종특별자치시,26096,7069,3318,0.0,0.0,909,228,113,582,175,110,302,64,9,1031,463,225,510,188,80,536,133,64,9312,3212,1046,38,10,4,260,79,30,3502,942,662,1779,156,109,4164,988,640,1649,233,122,44,3,3,86,16,2,1387,179,99,5,0,0
경기도,1502557,241291,171348,3102230.0,4.4,64310,10878,8152,31639,7438,5612,16050,1249,678,39167,7931,6139,29098,7099,4349,33465,5652,3374,363784,66148,39517,3256,702,579,19450,3914,2495,171633,35100,30654,143813,13446,9202,323715,52606,41828,91253,13376,7878,2427,218,126,1477,376,51,167921,15147,10702,99,11,12
강원도,177905,25527,20820,2804556.0,2.8,9695,1267,1141,4270,927,759,1766,119,76,4404,777,694,2971,621,422,2935,380,234,27822,4588,3320,342,74,62,859,168,126,39037,7139,6353,13165,967,812,41035,5690,5135,19425,1531,950,395,25,12,1103,426,22,8520,816,685,161,12,17
충청북도,182418,26974,21095,2888651.0,4.1,9185,1392,1165,4136,959,777,1925,132,95,4191,642,601,3558,807,472,2947,391,248,30010,5316,3605,305,56,47,830,157,106,30478,6008,5463,18488,1417,1060,41712,6107,5216,17335,1639,962,466,19,31,1393,347,60,15377,1570,1183,82,15,4
충청남도,231187,36611,26908,3139647.0,2.2,11798,1764,1377,4818,1223,921,2518,200,123,5040,952,748,4727,1214,756,3695,544,303,37440,7042,4396,352,56,60,1010,212,147,39122,7758,6670,21065,2056,1443,54506,8190,6863,21471,2371,1367,548,51,27,2559,673,82,20406,2294,1605,112,11,20
전라북도,195980,27719,22759,2750571.0,5.1,10172,1442,1190,3822,884,761,2591,131,101,5437,851,837,3348,636,449,3568,488,309,26005,4123,2913,329,55,66,851,184,131,30015,6011,5430,20731,1454,1279,50524,7109,6750,18264,1846,1151,393,29,22,6527,1097,136,13327,1372,1224,76,7,10
전라남도,192084,27595,21912,2996396.0,2.0,9522,1468,1235,3390,768,628,2106,147,109,4086,751,647,2711,624,359,2909,366,271,21408,3737,2616,242,44,39,735,129,94,33833,6674,5925,23238,1609,1166,49404,7308,6244,19653,1604,973,510,49,35,4203,740,101,13491,1496,1357,643,81,113
경상북도,297324,41934,34546,2986091.0,2.4,14973,1997,1705,5846,1212,1043,2918,173,98,6831,1154,1044,5243,1129,890,4382,561,374,39594,6970,4937,505,88,75,1231,213,177,52237,9946,9214,30608,2142,1602,69193,9951,8929,27702,2397,1504,837,66,55,2152,596,40,32887,3321,2843,185,18,16
경상남도,374215,55178,45861,2943459.0,1.9,18273,2865,2288,6896,1509,1246,3919,275,170,10099,1832,1606,8324,2173,1848,8281,1252,1469,59029,10373,6740,660,98,103,1359,237,160,65373,12990,11573,33034,2301,1712,83284,12473,10847,28146,2390,1860,814,64,38,1177,280,42,45456,4056,4148,91,10,11
제주특별자치도,87291,16833,10700,2456978.0,2.8,3939,594,431,1818,393,296,920,81,38,2050,352,303,2048,380,231,1695,303,148,17973,5257,2428,153,21,29,528,102,60,18697,4390,3337,7434,575,408,18378,2831,2218,8271,1167,528,114,14,10,332,70,7,2924,303,228,17,0,0
서울특별시,1372076,194628,146325,3563940.0,3.4,53390,7851,5935,28323,5198,4752,19436,1239,836,33475,6080,4724,29940,4819,3197,69198,10781,6303,386209,60871,36929,11933,1700,1857,47703,7903,4856,144101,25004,22262,84097,8588,6498,325526,41812,38117,62920,6459,4422,510,40,22,480,121,29,74787,6157,5579,48,5,7
부산광역시,412641,53937,43857,2962069.0,6.3,20207,2904,1945,7447,1301,1233,5559,365,204,10104,1929,1486,8968,1742,1203,9861,1384,979,81483,12545,8368,1291,199,209,2853,482,355,54278,10193,8990,49930,2985,2844,100403,12472,11702,23499,2662,1867,507,41,22,150,35,6,36089,2697,2443,12,1,1
대구광역시,288468,37788,30665,2766527.0,5.0,13956,2279,1514,5804,1049,927,4121,215,127,8482,1619,1232,5602,1157,813,6416,815,488,52808,7804,4988,809,106,110,2069,347,256,37681,7193,6450,30108,1975,1682,70793,9007,8753,17312,1885,1289,360,30,17,305,74,10,31835,2230,2008,7,3,1
인천광역시,321747,52435,37431,3013149.0,3.4,15364,2737,1844,7523,1692,1399,3638,254,146,7988,1754,1202,6851,1564,1060,6569,1147,675,72805,13833,7715,823,168,148,3059,653,409,40163,8301,6984,29918,3187,2149,72229,11223,9718,21794,3229,1883,562,64,30,204,47,8,32234,2578,2058,23,4,3
광주광역시,164928,25624,19121,2803147.0,2.6,9395,1629,1181,3853,815,725,2434,193,138,5527,968,803,3461,669,471,4101,635,389,28190,4682,2779,543,93,81,1260,229,165,23053,4911,4477,17331,2587,949,41329,5652,5280,12700,1422,835,187,14,8,1039,164,34,10507,959,804,18,2,2
대전광역시,169835,23752,19246,3189820.0,3.8,9453,1547,1068,4163,813,775,2473,143,104,4998,931,758,3678,782,540,4402,632,405,33643,4668,3135,441,77,64,2049,359,264,23928,4644,4178,16716,1195,1055,41800,5677,5301,11682,1397,930,148,14,9,210,33,6,10049,840,654,2,0,0
울산광역시,122855,17485,15324,3279013.0,3.4,6677,1046,770,3048,575,552,1479,76,58,4026,696,635,2914,610,490,2957,425,426,22479,3224,2390,258,32,44,549,109,88,20983,4040,3754,12664,905,692,25315,3491,3490,9700,972,816,249,25,15,92,20,5,9451,1238,1096,14,1,3
세종특별자치시,30225,7212,3774,0.0,0.0,1137,320,142,605,133,109,346,57,9,1308,496,256,599,162,105,660,166,73,11398,3073,1295,39,6,2,327,76,34,3882,1059,639,1908,230,138,4544,962,685,1806,222,137,51,8,3,136,49,6,1473,192,141,6,1,0
경기도,1584941,254181,178541,3236256.0,4.3,68009,11832,7531,32453,6692,5428,16485,1212,662,41975,8953,6526,32565,7556,4749,36765,6248,3702,402400,79263,45578,3292,627,510,21708,4521,2769,174885,35215,29278,147822,13754,9321,331411,49364,42118,97762,13404,8624,2608,300,125,2222,706,60,172492,14533,11552,87,1,8
강원도,183161,26326,19998,2931838.0,4.5,9878,1302,952,4248,771,740,1788,111,78,4421,702,702,3171,615,433,3120,380,237,31005,6484,3282,342,58,55,919,175,123,39267,6712,5985,13287,926,770,40463,4866,4980,20193,1648,961,415,35,15,1872,754,37,8613,772,634,159,15,14
충청북도,186439,25517,20128,3035381.0,5.1,9413,1415,958,4123,812,761,1944,120,72,4372,775,600,4045,943,609,3172,462,275,30626,4314,3048,307,48,47,883,157,128,30766,5907,5153,18665,1291,1084,41789,5479,5009,18133,1727,1104,477,42,24,1789,416,47,15850,1601,1200,85,8,9
충청남도,239893,36374,27676,3246198.0,3.4,12379,1936,1319,4919,1047,888,2560,187,131,5376,1105,857,5254,1280,974,3940,536,329,40314,7315,4470,357,64,56,1108,239,164,39902,7740,6849,21504,1931,1444,54691,7340,6749,22260,2234,1531,584,64,38,3621,1138,119,21021,2206,1747,103,12,11
전라북도,201013,28463,21341,2901251.0,5.5,10554,1562,1091,3820,786,692,2637,164,93,5573,971,795,3620,716,506,3810,519,303,26988,3922,2587,340,74,48,900,177,107,30280,5874,5163,20719,1471,1203,49906,6490,6126,19122,1948,1242,413,46,22,8723,2336,219,13525,1391,1136,83,16,8
전라남도,196936,27300,20777,3145992.0,5.0,9824,1516,1054,3416,678,583,2151,160,90,4223,790,637,3115,724,482,3083,431,246,22874,4091,2295,251,50,30,807,156,79,33882,6142,5494,23375,1571,1238,49024,6157,5853,20731,1941,1086,521,49,29,5324,1204,163,13726,1555,1259,609,85,159
경상북도,302289,39962,33296,3151486.0,5.5,15408,2140,1494,5827,1058,982,2973,172,125,7107,1309,1228,5483,1122,898,4612,568,360,40658,6022,4265,483,62,70,1272,213,146,52277,9480,8496,31179,2197,1809,68573,8567,8629,28674,2571,1744,898,101,53,3148,1002,69,33529,3358,2906,188,20,22
경상남도,379700,52830,43544,3054555.0,3.8,18916,2911,1961,6897,1313,1160,3990,253,163,10405,1929,1673,8306,1909,1506,7921,1112,922,60945,8834,6432,634,83,104,1442,238,187,65910,12541,11146,33580,2394,1841,83046,11003,10460,28889,2880,1983,864,89,40,1731,561,43,46138,4772,3914,86,8,9
제주특별자치도,92637,15938,11039,2584690.0,5.2,4169,656,394,1933,412,291,960,78,25,2160,416,327,2267,442,300,1888,334,164,19672,4004,2418,160,33,22,619,121,94,19901,4586,3371,7580,555,388,18888,2744,2304,8800,1074,689,116,10,7,490,161,11,3016,312,234,18,0,0
서울특별시,1416145,203968,157419,3704202.0,3.9,55500,8402,6014,28726,5436,4550,19755,1317,751,35115,6522,4826,31284,4831,3729,73680,11388,6577,408881,61772,43168,10835,1839,1382,50625,8198,4590,145418,25111,21487,90192,12808,13501,325424,42897,36709,64627,6903,4621,525,42,22,634,167,30,74877,6329,5459,47,6,3
부산광역시,425613,59057,46120,3050186.0,3.0,21545,3345,2350,7451,1323,1296,5652,334,165,10741,2169,1522,9250,1546,1223,10430,1573,964,87182,14441,10194,1264,203,168,3064,589,367,55589,10664,8669,50979,3721,2945,101317,13569,11817,24156,2741,1874,530,42,29,195,46,7,36258,2750,2529,10,1,1
대구광역시,296026,39971,31954,2908433.0,5.1,14984,2565,1597,5950,1117,985,4212,238,137,8959,1717,1352,5686,903,827,6806,902,547,55658,7992,6234,847,152,118,2154,358,233,38829,7860,6652,30416,2163,1651,71064,9712,8310,17756,1968,1278,380,36,18,477,135,11,31841,2151,2002,7,2,2
인천광역시,349166,66264,44121,3121843.0,3.6,16594,3115,2066,7710,1686,1459,3746,251,147,8628,1883,1428,7280,1520,1165,7260,1346,806,84059,19140,12905,865,176,156,3365,686,456,41564,8686,6818,37998,10101,2710,73512,11826,9854,22995,3132,1983,618,80,33,329,117,7,32622,2518,2128,21,1,0
광주광역시,171046,26072,20168,2942622.0,5.0,10069,1885,1261,3985,908,799,2470,189,112,5804,1068,948,3602,609,512,4397,672,356,30338,4966,3627,563,102,66,1328,260,166,23573,5169,4460,18077,1716,1141,41178,5575,5013,13499,1658,867,197,16,8,1340,297,36,10605,977,794,21,5,2
대전광역시,175607,25967,20230,3287005.0,3.0,9951,1605,1085,4174,831,706,2515,159,97,5218,1009,906,3743,624,500,4692,713,394,36264,5926,4318,465,90,74,2242,458,242,24400,4852,4061,17100,1459,1074,42006,5833,5212,12136,1457,866,155,16,8,281,64,5,10260,869,682,5,2,0
울산광역시,124994,18373,15227,3377777.0,3.0,7122,1238,759,3027,551,563,1489,76,49,4135,786,655,2885,479,432,2997,467,364,23628,3604,2896,264,46,22,559,106,63,21273,4205,3706,12836,949,744,25066,3486,3244,9747,1059,821,253,21,14,151,55,3,9549,1244,890,13,1,2
세종특별자치시,34276,7712,4389,0.0,0.0,1308,310,167,635,147,122,396,54,20,1583,526,287,667,159,100,786,187,88,13429,3264,1616,51,15,7,434,115,50,4319,1128,767,1950,190,112,4981,1080,744,1955,281,148,55,7,5,190,54,5,1530,195,150,7,0,1
경기도,1678685,273263,192192,3384598.0,4.6,73957,13491,8340,33584,6967,5612,17045,1330,623,45313,10026,7022,35181,7214,5286,41340,7765,4171,440332,84559,54493,3569,735,601,25081,5789,3055,181504,37416,29142,153068,14823,10594,342305,52700,42502,104331,14471,8806,2785,299,140,3642,1355,125,175555,14310,11669,93,13,11
강원도,190426,27969,20767,3049958.0,4.0,10591,1640,1164,4301,807,734,1826,115,75,4574,870,744,3348,604,472,3383,485,255,33047,5497,3933,345,61,48,983,186,142,40147,7211,5973,13602,1034,734,40439,5238,4554,21044,1882,1034,429,34,24,3191,1289,141,9019,1005,729,157,11,11
충청북도,194971,29192,21233,3142720.0,3.5,10153,1707,1097,4215,906,734,1978,117,59,4588,834,737,4202,799,610,3355,453,251,32941,5391,3646,321,62,58,926,177,103,31578,6230,5149,18988,1414,1074,42507,5918,5161,18842,1865,1159,506,49,26,3349,1540,115,16432,1717,1246,90,13,8
충청남도,250195,38628,27463,3372295.0,3.9,13250,2191,1384,5062,1079,914,2557,147,112,5800,1284,966,5303,1051,847,4286,642,366,42695,6885,4755,367,70,66,1227,262,155,40653,7821,6429,22012,2041,1481,55512,7776,6570,22963,2391,1454,644,97,30,6133,2593,187,21620,2281,1734,111,17,13
전라북도,211967,33252,22522,2992628.0,3.1,11290,1876,1180,3978,900,721,2692,160,110,5832,1095,902,3800,678,541,4141,621,348,28844,4406,3178,416,118,80,1017,218,132,31283,6353,5126,21172,1769,1186,50215,6946,6165,20184,2418,1294,445,53,20,12530,4012,287,14042,1619,1244,86,10,8
전라남도,207370,31786,22044,3235215.0,2.8,10626,1847,1191,3561,741,592,2174,131,75,4478,904,798,3258,623,502,3412,572,258,25613,4962,3260,270,43,59,931,183,94,34689,6611,5194,23852,1833,1336,49561,6796,5811,21987,2271,1201,556,59,24,7485,2306,244,14387,1824,1281,530,80,124
경상북도,311422,43204,33902,3262945.0,3.5,16486,2558,1787,5947,1129,1037,3032,200,124,7290,1438,1234,5583,1017,881,4928,678,402,42664,6240,5027,491,75,71,1380,256,164,53384,9889,8296,31501,2321,1773,68791,9159,8312,29511,2688,1668,953,111,41,5144,1959,127,34136,3452,2935,201,34,23
경상남도,390210,55203,43808,3190336.0,4.4,20232,3291,2142,7103,1444,1258,4037,237,148,10897,2181,1636,8626,1826,1466,8367,1329,869,63362,8909,7561,636,101,74,1552,292,167,67043,12732,10721,34364,2596,1845,83557,11406,10043,29643,2956,1942,902,85,45,2873,1101,70,46932,4711,3814,84,6,7
제주특별자치도,98425,16898,12834,2710704.0,4.9,4510,749,462,2022,384,310,994,68,33,2356,520,348,2368,409,341,2065,330,170,21935,4517,3819,171,29,13,647,120,87,21046,4653,3444,7972,728,528,19267,2758,2255,9050,1025,736,126,19,10,713,224,14,3165,365,264,18,0,0
서울특별시,1461274,216971,167815,3745761.0,1.1,56747,7729,6318,28286,4661,4504,20064,1196,707,36491,6496,4490,32564,5708,4381,79148,12625,6964,437586,73517,48754,11097,1773,1530,54756,9034,5009,144760,23016,21155,83120,7744,15395,333691,49581,39156,66195,6934,4251,548,47,19,747,132,38,75430,6775,5136,44,3,8
부산광역시,439033,61626,47941,3124238.0,2.4,21972,2890,2363,7180,1156,1159,5767,307,188,11391,2189,1495,9103,1648,1272,11091,1652,1029,94538,17641,11995,1299,211,171,3382,674,367,56289,9936,8884,51900,3405,2895,103209,14454,12091,24962,2763,1811,540,38,28,242,46,13,36156,2613,2177,12,3,3
대구광역시,303699,41361,31787,2939627.0,1.1,15640,2325,1678,5750,884,993,4241,192,119,9365,1783,1201,5532,1001,744,7275,985,590,59954,10664,6909,847,123,96,2311,417,250,38613,6816,6312,31002,2153,1730,71749,9605,8142,18628,2182,1205,398,36,22,610,122,15,31778,2072,1779,6,1,2
인천광역시,365175,62574,43775,3172498.0,1.6,17184,2770,1978,7493,1373,1304,3768,200,113,8803,1651,1112,7768,1828,1173,7890,1456,778,91945,21438,13898,842,152,120,3747,824,462,42534,8314,6502,38543,3382,2561,76415,13214,9952,24256,3340,1886,634,45,38,385,67,17,32945,2517,1877,23,3,4
광주광역시,176875,26695,19786,2989188.0,1.6,10360,1599,1241,3928,770,709,2489,145,106,5812,993,704,3641,739,496,4827,793,417,33166,6472,3978,574,86,81,1424,270,154,23426,4540,4246,18711,1552,1095,41650,5810,4847,14350,1709,892,205,17,9,1574,243,46,10720,957,763,18,0,2
대전광역시,182770,28477,20898,3301865.0,0.5,10385,1531,1240,4079,707,717,2503,107,83,5294,1014,739,3740,725,467,5054,790,422,40119,8282,5152,451,68,46,2507,516,276,24442,4388,3958,17609,1376,1059,42855,6405,5223,12728,1517,844,168,22,4,349,53,19,10480,974,648,7,2,1
울산광역시,127964,18979,15431,3438056.0,1.8,7439,1100,875,2877,448,511,1489,63,33,4389,900,589,2906,617,469,3007,415,371,25002,4257,3144,323,81,77,633,127,84,21390,3960,3534,13048,909,728,25368,3754,3278,9846,1148,752,255,15,13,220,64,10,9761,1121,962,11,0,1
세종특별자치시,38435,8392,5165,3423078.0,0.0,1471,327,208,673,151,114,410,37,16,1817,508,339,683,154,111,959,244,122,15585,3706,2002,51,5,10,525,136,68,4502,1004,763,2067,195,134,5669,1361,954,2078,264,161,57,5,2,254,59,9,1627,235,152,7,1,0
경기도,1784184,299179,198673,3467004.0,2.4,77741,12260,8777,33355,6011,5637,17493,1134,635,47776,9625,6554,38349,9286,5615,47825,9853,4753,482682,97751,58163,3725,718,541,30066,7614,3503,185498,35475,28312,157307,14853,10740,364080,63145,45886,111209,15244,8572,2954,280,157,4957,1283,183,179078,14639,10638,89,8,7
강원도,199115,29874,21188,3053154.0,0.1,10881,1484,1285,4234,711,720,1844,109,68,4820,1008,683,3499,753,483,3665,513,282,36976,7735,4549,365,66,63,1092,223,148,40212,6377,5578,14080,1124,821,41336,5554,4550,22007,2040,1076,443,28,10,4264,1175,158,9237,960,698,160,14,16
충청북도,204172,30765,22474,3203545.0,1.9,10562,1528,1265,4217,781,809,2015,110,67,4779,924,591,4228,837,626,3705,574,275,36446,7048,4544,312,52,36,1047,210,132,31979,5832,5190,19528,1438,1054,43281,6103,5331,19571,1970,1116,537,50,28,4999,1692,180,16878,1609,1217,88,7,13
충청남도,265705,43398,29308,3397234.0,0.7,13878,2022,1559,5033,943,905,2550,129,74,6008,1174,909,5523,1285,831,4753,794,418,48399,10368,6235,352,58,50,1414,319,194,41174,7390,6215,22866,2050,1498,57178,8409,6797,24070,2582,1549,677,67,41,9415,3453,347,22306,2345,1681,109,10,5
전라북도,224779,35752,23203,3028036.0,1.2,11770,1675,1260,3933,713,674,2696,132,94,6035,1111,778,3772,736,530,4512,711,359,32241,6398,4085,404,77,58,1130,242,148,31455,5543,4898,21669,1536,1250,50755,6953,5932,21349,2486,1392,489,57,25,18102,5800,496,14377,1573,1216,90,9,8
전라남도,219445,34249,22803,3252923.0,0.5,11167,1733,1342,3663,752,670,2198,101,83,4567,879,604,3357,774,518,3766,570,354,28643,6273,3766,243,38,33,1055,225,106,35439,6175,5237,24609,1986,1409,50512,6948,5656,23449,2388,1189,590,57,31,10767,3502,378,14892,1720,1310,528,128,117
경상북도,322277,44946,33437,3318498.0,1.7,17024,2354,1827,5765,930,983,3021,119,120,7648,1563,1106,5660,1145,868,5271,723,446,45599,7894,5450,496,77,84,1481,258,165,54074,9291,7976,32230,2323,1712,69815,9471,8002,30722,2822,1665,985,69,51,7750,2617,260,34547,3277,2702,189,13,20
경상남도,403797,58729,45268,3260329.0,2.2,21223,3176,2337,6929,1155,1185,4074,197,159,11810,2558,1600,8701,1933,1544,8753,1233,1075,68073,12314,8704,684,123,115,1783,386,187,68287,12322,10652,35193,2569,1895,85322,12160,10178,30665,3137,1805,944,79,45,4140,1286,130,47130,4090,3648,86,11,9
제주특별자치도,102151,16875,12269,2726806.0,0.6,4745,703,595,2107,400,276,1000,43,22,2682,666,398,2450,449,347,2356,455,216,22370,4361,3077,202,37,35,763,177,99,21803,4361,3366,8089,625,584,19877,2856,2288,9258,1053,674,134,16,5,995,290,22,3302,383,263,18,0,2
