전출인구,출생아수,산부인과의원수,초등학생인원수,도매 및 소매업 신생,예금은행대출금액,예금액,cluster_id
1821303,112129,286,739619,49143,248468.3,13718.5,2
1620640,84066,395,469392,48097,462443.1,532689.2,1
423864,29504,65,190166,12612,57288.6,6703.3,3
496161,25831,82,160821,13902,77411.6,59554.5,3
363224,19340,86,136309,9981,46578.5,37541.7,3
439578,25560,69,157918,11522,62378.3,31197.4,3
260395,14555,52,105135,6935,22597.6,15924.7,0
330983,22206,57,135237,9127,28452.3,35242.6,3
229288,12729,45,96055,6342,23082.8,18041.6,0
268053,18628,47,116216,7662,26445.4,17957.6,0
246635,15401,24,99206,6356,15968.2,24216.2,0
157185,11330,31,67156,3700,19560.1,14588.0,0
212860,13658,49,88860,6185,17211.7,18654.6,0
230547,14099,52,93398,6740,23859.8,23975.3,0
214931,10980,34,83187,5355,13259.9,14145.8,0
81028,5328,21,38235,2633,7325.0,1360.9,0
15109,1111,2,7090,426,2429.1,144173.5,0
1834379,112169,277,732307,51661,268494.6,14808.7,2
1661425,83711,392,457517,50223,494441.9,565416.1,1
456164,29763,64,186973,12751,62681.3,7638.4,3
500802,26190,77,155754,14569,84345.8,67846.8,3
365739,19361,85,131765,10744,53214.0,42203.2,3
442973,25786,67,156740,11938,66365.0,32603.1,3
276900,14231,54,101860,7545,24625.9,17303.3,0
338029,22062,55,131307,9728,31642.7,37942.2,3
246043,12729,43,93163,6781,24782.2,19139.3,0
279817,18200,46,115056,8001,29451.1,18907.1,0
260874,14817,23,95720,6799,17164.0,25822.9,0
173229,11556,31,65810,4020,21981.2,14873.6,0
213577,13366,47,86508,6539,19076.8,19741.1,0
248397,13962,50,91599,7085,25804.7,25692.5,0
226284,10662,32,80458,5432,14184.7,15124.3,0
81396,5526,20,37915,2581,8312.3,1667.4,0
23070,1344,3,8057,653,3535.0,153813.3,0
1898312,113495,273,733359,49285,284496.7,15664.1,2
1726687,83005,389,450675,44599,525529.1,600391.1,1
450279,29537,66,187075,11822,68619.5,8886.4,3
520591,26645,74,154283,13133,92109.5,73156.4,3
364364,19438,85,129583,9664,61642.8,46861.6,3
463685,25491,65,157099,11394,69059.0,35680.0,3
264662,14087,53,100260,7183,26242.4,19700.1,0
345307,22310,55,129743,9675,35582.2,39657.4,3
233875,12441,41,91862,6342,28259.6,21419.9,0
279680,18604,46,115484,7772,32255.0,20055.2,0
246168,15061,22,94368,6819,19216.7,28207.6,0
170473,11732,32,66134,3714,24057.9,15505.6,0
213188,13563,47,85290,5944,21044.6,22462.1,0
241390,13774,47,89464,6128,27830.0,28045.8,0
222352,10929,33,78414,5570,15464.9,16285.4,0
83323,5600,20,38164,2526,10191.0,2533.3,0
30950,2708,4,13353,712,5215.0,169215.4,0
1824976,105643,269,727380,52487,305720.4,22669.9,2
1655859,75536,388,436121,44997,544592.1,628071.1,1
410180,27138,64,185325,12066,72333.0,9587.6,3
480407,24906,70,151207,13686,99122.7,79929.2,3
337488,18298,87,125541,10049,66966.8,47164.2,3
435869,23609,65,155590,12107,73804.8,40274.6,3
252607,12698,52,97895,7233,27330.1,20112.5,0
318803,20616,56,127825,9740,37300.0,42454.8,3
221074,11580,39,89095,6228,30354.2,24067.4,0
271446,17302,46,115309,7956,33828.8,21020.7,0
237337,13980,22,92981,7205,20060.0,30487.5,0
155812,10910,32,65629,3813,25364.2,16080.5,0
197668,12742,47,84052,6105,22070.0,22611.6,0
229883,12436,47,85939,6406,29590.8,28605.4,0
221592,10058,29,76772,5631,16415.4,17522.2,0
92193,5494,21,38272,2886,12548.2,5708.1,0
35236,3297,4,17910,838,6747.6,184606.3,0
1772162,94088,269,733941,52606,326152.3,23775.3,2
1571423,65389,388,428333,44574,569688.0,664687.0,1
409200,23849,64,186619,12473,74494.8,9896.2,3
467471,21480,65,150863,13900,106819.1,81765.8,3
333118,15946,86,124708,10226,71095.8,48356.4,3
411135,20445,62,156470,11563,80147.3,43007.6,3
239253,11348,50,97383,7109,28323.0,20753.7,0
316642,17957,55,127642,9951,39225.6,43283.8,3
216256,10120,38,88189,6076,31038.5,24235.1,0
269337,15670,43,116963,8190,35278.9,22690.2,0
230551,12354,21,93233,7308,21010.3,30995.6,0
147116,9381,32,66016,4001,26949.2,15899.4,0
194915,11394,45,84240,6107,23178.8,23823.3,0
227624,10851,46,84240,6256,31050.7,30601.9,0
209618,8958,30,75722,5690,17587.6,18707.2,0
91022,5037,21,38901,2831,14707.9,7735.5,0
47383,3504,4,20764,988,7585.8,195344.5,0
1871621,88175,268,752499,49364,350553.6,23680.4,2
1549937,58074,394,424800,41812,607389.3,728762.8,1
395524,21224,59,191016,11003,76526.6,9305.7,3
442854,19152,65,152775,12472,113616.7,80983.6,3
335400,14400,87,125160,9007,74462.0,48437.4,3
433706,20087,59,158871,11223,85660.7,44338.0,3
257097,10001,50,97606,6490,29107.6,22167.1,0
318671,16079,54,129290,8567,40939.9,43841.2,3
225108,9105,37,88622,5652,33475.5,24104.4,0
282221,14380,42,120152,7340,36232.6,27566.9,0
232414,11238,19,94134,6157,22228.8,32334.2,0
140576,8149,32,67290,3491,27620.7,15886.4,0
213737,10586,41,85344,5479,25028.7,24605.0,0
227632,9337,45,83453,5677,33252.0,30908.9,0
220252,8351,31,75412,4866,19200.5,19412.9,0
95349,4781,22,40096,2744,16633.8,11864.7,0
55000,3703,6,24865,962,8351.6,206787.8,0
1806296,83198,264,769744,52700,376464.3,25501.3,2
1476081,53673,391,422293,42897,641634.1,791160.6,1
405561,19250,58,194606,11406,78235.3,9847.4,3
435058,17049,67,155589,13569,120127.2,90142.9,3
336092,13233,91,126122,9712,80062.2,52113.4,3
422351,18522,59,160853,11826,92157.9,46757.3,3
241523,8971,50,97731,6946,30488.3,23693.8,0
311082,14472,54,131374,9159,43118.9,47388.8,3
221005,8364,35,88990,5575,36888.6,25261.5,0
259584,13228,42,122424,7776,37360.9,36495.5,0
233271,10832,19,94952,6796,23785.6,34777.2,0
152228,7539,33,68512,3486,28495.1,16646.3,0
208831,9333,40,86709,5918,26399.9,25555.5,0
228766,8410,46,82743,5833,35318.1,33905.4,0
215965,8283,32,75617,5238,20991.4,21582.6,0
92030,4500,23,41068,2758,18281.1,11646.8,0
58674,3819,7,27892,1080,8803.9,223043.4,0
1984199,77737,265,761731,63145,419831.8,24939.5,2
1642977,47445,385,409536,49581,726164.1,898371.8,1
419997,16823,59,190849,12160,82937.6,10308.9,3
506176,15058,67,153527,14454,132190.5,101058.8,3
364083,11193,87,122587,9605,88740.3,57156.5,3
460304,16040,60,156928,13214,102078.5,51948.8,3
257577,8165,48,94661,6953,33132.0,25070.1,0
334679,12873,53,129079,9471,47189.5,51352.9,3
232246,7318,36,86419,5810,42161.3,28573.7,0
286386,11950,43,120115,8409,41097.0,38260.0,0
248770,9738,18,92405,6948,26806.6,36756.8,0
149696,6617,34,67397,3754,30498.2,18231.6,0
226441,8607,40,85135,6103,28669.1,27669.5,0
243418,7481,44,79807,6405,39341.3,38725.4,0
217897,7835,32,73478,5554,22831.4,23634.2,0
94736,3989,23,40575,2856,20182.3,14025.4,0
65909,3468,7,29487,1361,9864.7,251734.3,0
