시점,병원,상급종합병원,종합병원,시도별
2009,167,17,42,서울
2009,103,4,22,부산
2009,98,4,7,대구
2009,50,2,12,인천
2009,49,2,17,광주
2009,34,2,6,대전
2009,36,0,4,울산
2009,244,5,48,경기
2009,40,2,14,강원
2009,38,1,9,충북
2009,48,2,9,충남
2009,65,2,12,전북
2009,75,0,19,전남
2009,73,0,18,경북
2009,137,1,24,경남
2009,5,0,6,제주
2010,171,17,42,서울
2010,109,4,24,부산
2010,101,4,8,대구
2010,55,2,12,인천
2010,53,2,19,광주
2010,35,2,6,대전
2010,37,0,4,울산
2010,253,5,49,경기
2010,45,2,13,강원
2010,39,1,9,충북
2010,54,2,9,충남
2010,66,2,12,전북
2010,75,0,20,전남
2010,77,0,18,경북
2010,140,1,23,경남
2010,5,0,6,제주
2011,187,17,40,서울
2011,121,4,23,부산
2011,106,4,8,대구
2011,56,2,13,인천
2011,68,2,19,광주
2011,35,2,6,대전
2011,39,0,4,울산
2011,263,5,48,경기
2011,48,2,13,강원
2011,41,1,10,충북
2011,51,2,10,충남
2011,67,2,12,전북
2011,76,0,22,전남
2011,75,0,18,경북
2011,137,1,23,경남
2011,5,0,6,제주
2012,200,17,41,서울
2012,119,4,23,부산
2012,109,4,8,대구
2012,51,2,14,인천
2012,69,2,19,광주
2012,38,1,7,대전
2012,43,0,4,울산
2012,1,0,0,세종
2012,281,5,50,경기
2012,49,2,13,강원
2012,38,1,10,충북
2012,50,2,10,충남
2012,72,2,11,전북
2012,78,1,21,전남
2012,77,0,18,경북
2012,140,1,23,경남
2012,6,0,6,제주
2013,212,17,40,서울
2013,124,4,23,부산
2013,108,4,7,대구
2013,51,2,15,인천
2013,68,2,20,광주
2013,39,1,8,대전
2013,42,0,4,울산
2013,1,0,0,세종
2013,291,5,50,경기
2013,47,1,14,강원
2013,40,1,10,충북
2013,49,2,10,충남
2013,75,2,11,전북
2013,76,1,21,전남
2013,81,0,18,경북
2013,141,1,23,경남
2013,6,0,7,제주
2014,210,17,40,서울
2014,132,4,23,부산
2014,111,4,7,대구
2014,52,2,17,인천
2014,74,2,20,광주
2014,41,1,8,대전
2014,39,0,6,울산
2014,1,0,0,세종
2014,283,5,50,경기
2014,46,1,15,강원
2014,41,1,10,충북
2014,50,2,10,충남
2014,76,2,11,전북
2014,82,1,22,전남
2014,85,0,19,경북
2014,144,1,22,경남
2014,7,0,7,제주
2015,218,14,42,서울
2015,130,4,24,부산
2015,114,4,8,대구
2015,55,3,16,인천
2015,75,2,20,광주
2015,38,1,9,대전
2015,40,1,6,울산
2015,1,0,0,세종
2015,288,5,53,경기
2015,49,1,14,강원
2015,40,1,11,충북
2015,51,2,11,충남
2015,81,2,10,전북
2015,83,1,22,전남
2015,84,0,19,경북
2015,142,2,22,경남
2015,7,0,7,제주
2016,222,14,42,서울
2016,139,4,25,부산
2016,113,4,8,대구
2016,58,3,15,인천
2016,75,2,20,광주
2016,40,1,9,대전
2016,40,1,6,울산
2016,1,0,0,세종
2016,288,5,56,경기
2016,48,1,14,강원
2016,41,1,11,충북
2016,49,2,11,충남
2016,79,2,11,전북
2016,81,1,23,전남
2016,83,0,18,경북
2016,149,2,23,경남
2016,8,0,6,제주
2017,221,14,43,서울
2017,138,4,25,부산
2017,112,4,8,대구
2017,60,3,16,인천
2017,74,2,20,광주
2017,45,1,9,대전
2017,42,1,7,울산
2017,1,0,0,세종
2017,270,5,56,경기
2017,48,1,14,강원
2017,39,1,11,충북
2017,45,2,11,충남
2017,79,2,11,전북
2017,74,1,22,전남
2017,79,0,19,경북
2017,132,2,23,경남
2017,7,0,6,제주
2018,223,13,45,서울
2018,137,4,25,부산
2018,108,5,10,대구
2018,62,3,16,인천
2018,78,2,20,광주
2018,49,1,9,대전
2018,41,0,8,울산
2018,0,0,0,세종
2018,265,5,58,경기
2018,45,1,14,강원
2018,39,1,12,충북
2018,45,2,11,충남
2018,77,2,11,전북
2018,74,1,23,전남
2018,76,0,20,경북
2018,139,2,23,경남
2018,7,0,6,제주
2019,228,13,44,서울
2019,142,4,25,부산
2019,109,5,11,대구
2019,62,3,16,인천
2019,80,2,21,광주
2019,51,1,9,대전
2019,43,0,8,울산
2019,0,0,1,세종
2019,277,5,59,경기
2019,45,1,14,강원
2019,37,1,12,충북
2019,44,2,11,충남
2019,74,2,11,전북
2019,78,1,22,전남
2019,74,0,20,경북
2019,138,2,24,경남
2019,7,0,6,제주
2020,230,13,43,서울
2020,145,4,25,부산
2020,109,5,12,대구
2020,68,3,16,인천
2020,85,2,22,광주
2020,50,1,9,대전
2020,38,0,9,울산
2020,2,0,2,세종
2020,288,5,62,경기
2020,45,1,14,강원
2020,38,1,12,충북
2020,45,2,11,충남
2020,73,2,11,전북
2020,79,1,22,전남
2020,73,0,20,경북
2020,140,2,23,경남
2020,7,0,6,제주
2021,222,14,42,서울
2021,136,3,25,부산
2021,88,5,13,대구
2021,56,3,17,인천
2021,84,2,21,광주
2021,46,1,9,대전
2021,33,1,8,울산
2021,1,0,2,세종
2021,277,5,62,경기
2021,37,2,13,강원
2021,37,1,12,충북
2021,46,2,11,충남
2021,64,2,11,전북
2021,74,1,24,전남
2021,55,0,20,경북
2021,134,3,23,경남
2021,7,0,6,제주
2022,225,14,42,서울
2022,136,3,25,부산
2022,89,5,13,대구
2022,59,3,17,인천
2022,85,2,22,광주
2022,47,1,9,대전
2022,33,1,8,울산
2022,1,0,2,세종
2022,271,5,67,경기
2022,36,2,13,강원
2022,37,1,12,충북
2022,44,2,11,충남
2022,62,2,12,전북
2022,73,1,25,전남
2022,56,0,20,경북
2022,132,3,23,경남
2022,7,0,6,제주
